Notes,Unnamed: 0,名前,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,Number,title
3面ボステーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EXTRAのテーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EXTRAステージテーマ,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
EXTRAステージボステーマ,9,10,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10
EXTRAボステーマ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
PHANTASMステージテーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PHANTASMステージボステーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SPOILER クリア,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
VIVITのテーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vsアリス,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vsチルノ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vsパチュリー,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vs早苗,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vs空,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vs美鈴,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vs諏訪子,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vs霊夢,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
vs魔理沙,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
「香霖堂」卓３戦目のテーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
めい＆まいのテーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
エキストラエンディングテーマ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
